第6976章扭转劣势，难度很大: https://www.xbiquge.bz/book/30892/40729834.html
第6975章积极防御才是最为重要的手段: https://www.xbiquge.bz/book/30892/40721094.html
第6974章晋军，不是罗马人能够比拟的: https://www.xbiquge.bz/book/30892/40720804.html
第6973章面对晋军的压力: https://www.xbiquge.bz/book/30892/40720505.html
第6972章晋军进攻，乃是必然: https://www.xbiquge.bz/book/30892/40720220.html
第6971章晋军，从不惧对手: https://www.xbiquge.bz/book/30892/40719845.html
第6970章怒吼声中，气势攀升: https://www.xbiquge.bz/book/30892/40719407.html
第6969章军容雄壮: https://www.xbiquge.bz/book/30892/40718943.html
第6968章大战来临的气氛: https://www.xbiquge.bz/book/30892/40717583.html
第6967章安东关，火炮三门，守军万人: https://www.xbiquge.bz/book/30892/40716452.html
第6966章晋军行动，寄予厚望: https://www.xbiquge.bz/book/30892/40716102.html
第6965章安东关不容有失: https://www.xbiquge.bz/book/30892/40715762.html
第160章 郭太出使黑山军: https://www.xbiquge.bz/book/30892/19014092.html
第161章 张燕袭邺城: https://www.xbiquge.bz/book/30892/19014093.html
第162章 糜竺求援: https://www.xbiquge.bz/book/30892/19014094.html
第163章 驰援徐州: https://www.xbiquge.bz/book/30892/19014095.html
第164章 入徐州: https://www.xbiquge.bz/book/30892/19014096.html
第165章 陶谦让徐州: https://www.xbiquge.bz/book/30892/19014097.html
第166章 郭嘉劝糜竺: https://www.xbiquge.bz/book/30892/19014098.html
第167章 刘备领徐州: https://www.xbiquge.bz/book/30892/19014099.html
第168章 会糜贞: https://www.xbiquge.bz/book/30892/19014100.html
第169章 曹军来了: https://www.xbiquge.bz/book/30892/19014101.html
第170章 典韦战张飞: https://www.xbiquge.bz/book/30892/19014102.html
第171章 虎豹骑: https://www.xbiquge.bz/book/30892/19014103.html
第172章 出使曹军: https://www.xbiquge.bz/book/30892/19014104.html
第173章 曹操的挑战: https://www.xbiquge.bz/book/30892/19014105.html
第174章 飞骑战虎豹: https://www.xbiquge.bz/book/30892/19014106.html
第175章 青釭剑: https://www.xbiquge.bz/book/30892/19014107.html
第176章 陈宫来信: https://www.xbiquge.bz/book/30892/19014108.html
第177章 曹军攻城: https://www.xbiquge.bz/book/30892/19014109.html
第178章 张飞出城: https://www.xbiquge.bz/book/30892/19014110.html
第179章 守城: https://www.xbiquge.bz/book/30892/19014111.html
第180章 兖州的信件: https://www.xbiquge.bz/book/30892/19014112.html
