关于脉轮和符文之语的设定: https://www.xbiquge.bz/book/55020/39057770.html
雷鸣领和克里夫公国: https://www.xbiquge.bz/book/55020/39057769.html
暴风王国示意: https://www.xbiquge.bz/book/55020/39057768.html
恩法斯大陆示意: https://www.xbiquge.bz/book/55020/39057767.html
完本感言: https://www.xbiquge.bz/book/55020/39057766.html
第六十七章 亮剑？: https://www.xbiquge.bz/book/55020/39056393.html
第六十八章 雷鸣港的力量: https://www.xbiquge.bz/book/55020/39056394.html
第六十九章 法师之城: https://www.xbiquge.bz/book/55020/39056395.html
第七十章 术士的麻烦: https://www.xbiquge.bz/book/55020/39056396.html
第七十一章 客人: https://www.xbiquge.bz/book/55020/39056398.html
第七十二章 元素平衡: https://www.xbiquge.bz/book/55020/39056399.html
第七十三章 好运: https://www.xbiquge.bz/book/55020/39056400.html
第七十四章 术士和宠物: https://www.xbiquge.bz/book/55020/39056401.html
第七十五章 卢比的心: https://www.xbiquge.bz/book/55020/39056402.html
第七十六章 大星术师的力量: https://www.xbiquge.bz/book/55020/39056403.html
第七十七章 收获: https://www.xbiquge.bz/book/55020/39056404.html
第七十八章 儒勒符文: https://www.xbiquge.bz/book/55020/39056405.html
第七十九章 小麻烦: https://www.xbiquge.bz/book/55020/39056406.html
第八十章 魔法谷仓: https://www.xbiquge.bz/book/55020/39056407.html
第八十一章 粮食没问题: https://www.xbiquge.bz/book/55020/39056408.html
第八十二章 涌动的暗流: https://www.xbiquge.bz/book/55020/39056409.html
第八十三章 倾巢而出: https://www.xbiquge.bz/book/55020/39056410.html
第八十四章 练兵场: https://www.xbiquge.bz/book/55020/39056411.html
第八十五章 侵攻如火: https://www.xbiquge.bz/book/55020/39056412.html
第八十六章 魔法的艺术: https://www.xbiquge.bz/book/55020/39056413.html
第八十七章 意外引发的要素之力: https://www.xbiquge.bz/book/55020/39056414.html
第八十八章 意外之外的意外: https://www.xbiquge.bz/book/55020/39056415.html
第八十九章 暗处的敌人: https://www.xbiquge.bz/book/55020/39056416.html
第九十章 法术吸收者的覆灭: https://www.xbiquge.bz/book/55020/39056417.html
第九十一章 亡命刺杀: https://www.xbiquge.bz/book/55020/39056418.html
第九十二章 对抗: https://www.xbiquge.bz/book/55020/39056419.html
第九十三章 固若金汤: https://www.xbiquge.bz/book/55020/39056420.html
第九十四章 融金之火: https://www.xbiquge.bz/book/55020/39056421.html
第九十五章 亡灵的礼物: https://www.xbiquge.bz/book/55020/39056422.html
第九十六章 天灾武士: https://www.xbiquge.bz/book/55020/39056423.html
第九十七章 瘟疫扩散: https://www.xbiquge.bz/book/55020/39056424.html
第九十九章 迟滞: https://www.xbiquge.bz/book/55020/39056425.html
第一百章 联合法阵的光辉: https://www.xbiquge.bz/book/55020/39056426.html
第一百零一章 法力怨灵: https://www.xbiquge.bz/book/55020/39056427.html
第一零二章 战斗在继续: https://www.xbiquge.bz/book/55020/39056428.html
第一百零三章 自然的星光: https://www.xbiquge.bz/book/55020/39056429.html
第一百零五章 损失和战利品: https://www.xbiquge.bz/book/55020/39056430.html
第一百零六章 古尼奥的礼物: https://www.xbiquge.bz/book/55020/39056431.html
第一百零七章 人口: https://www.xbiquge.bz/book/55020/39056432.html
第一章 自然的赐福: https://www.xbiquge.bz/book/55020/39056433.html
第二章 商路: https://www.xbiquge.bz/book/55020/39056434.html
第三章 沼泽和蛮族: https://www.xbiquge.bz/book/55020/39056435.html
第四章 近卫军之力: https://www.xbiquge.bz/book/55020/39056436.html
第五章 杀戮: https://www.xbiquge.bz/book/55020/39056437.html
第六章 血之要素: https://www.xbiquge.bz/book/55020/39056438.html
第七章 血腥之卵: https://www.xbiquge.bz/book/55020/39056439.html
第八章 信笺和俘虏: https://www.xbiquge.bz/book/55020/39056440.html
第十章 危险的毒蛛走道: https://www.xbiquge.bz/book/55020/39056441.html
第十一章 毒液凶猛: https://www.xbiquge.bz/book/55020/39056442.html
第十二章 金色螯牙: https://www.xbiquge.bz/book/55020/39056443.html
第十三章 连杀: https://www.xbiquge.bz/book/55020/39056444.html
第十四章 惨胜和出谷: https://www.xbiquge.bz/book/55020/39056445.html
第十五章 绿山花海的自由之邦: https://www.xbiquge.bz/book/55020/39056446.html
第十六章 交易和拍卖会: https://www.xbiquge.bz/book/55020/39056447.html
第十七章 古代遗迹和鉴定: https://www.xbiquge.bz/book/55020/39056448.html
第十八章 弯月钥匙和古怪的水晶: https://www.xbiquge.bz/book/55020/39056449.html
第十九章 创生水晶和自由之邦的律法: https://www.xbiquge.bz/book/55020/39056450.html
第二十章 白银遗迹哈索斯的价值: https://www.xbiquge.bz/book/55020/39056451.html
第二十一章 炎之血脉: https://www.xbiquge.bz/book/55020/39056452.html
第二十二章 学徒和新的征程: https://www.xbiquge.bz/book/55020/39056453.html
第二十三章 不自量力的佣兵团: https://www.xbiquge.bz/book/55020/39056454.html
第二十四章 诡异的魔法: https://www.xbiquge.bz/book/55020/39056455.html
第二十五章 女妖之嚎: https://www.xbiquge.bz/book/55020/39056456.html
第二十六章 控制与被控制: https://www.xbiquge.bz/book/55020/39056457.html
第二十七章 神秘的灵魂之力: https://www.xbiquge.bz/book/55020/39056458.html
第二十八章 佣兵团与捕奴团: https://www.xbiquge.bz/book/55020/39056459.html
第二十九章 意外的麻烦: https://www.xbiquge.bz/book/55020/39056460.html
第三十章 绿角村和星眼的趣事: https://www.xbiquge.bz/book/55020/39056461.html
第三十一章 初遇恶魔: https://www.xbiquge.bz/book/55020/39056462.html
第三十二章 离开前的准备: https://www.xbiquge.bz/book/55020/39056463.html
第三十三章 控火者和角魔: https://www.xbiquge.bz/book/55020/39056464.html
第三十四章 焦岩的气息: https://www.xbiquge.bz/book/55020/39056465.html
第三十五章 船和领地的政务: https://www.xbiquge.bz/book/55020/39056466.html
第三十六章 通向遗迹的路途: https://www.xbiquge.bz/book/55020/39056467.html
第三十七章 温莎的红手光环: https://www.xbiquge.bz/book/55020/39056468.html
第三十八章 枯木怪和恐怖的圣殿骑士: https://www.xbiquge.bz/book/55020/39056469.html
第三十九章 被魔化的白银遗迹: https://www.xbiquge.bz/book/55020/39056470.html
第四十章 怒焰之力: https://www.xbiquge.bz/book/55020/39056471.html
第四十一章 燃烧的树魔: https://www.xbiquge.bz/book/55020/39056472.html
第四十二章 魔化的英灵之戒: https://www.xbiquge.bz/book/55020/39056473.html
第四十三章 效忠的骑士和分赃大会: https://www.xbiquge.bz/book/55020/39056474.html
第四十四章 来自克里夫公国的小表妹: https://www.xbiquge.bz/book/55020/39056475.html
第四十五章 绿树之城: https://www.xbiquge.bz/book/55020/39056476.html
第四十六章 无妄之灾: https://www.xbiquge.bz/book/55020/39056477.html
第四十七章 强势的黑龙将军: https://www.xbiquge.bz/book/55020/39056478.html
第四十八章 龙骑将莎萝公爵: https://www.xbiquge.bz/book/55020/39056479.html
第四十九章 危急时刻: https://www.xbiquge.bz/book/55020/39056480.html
第五十章 生死一刻: https://www.xbiquge.bz/book/55020/39056481.html
第五十一章 扭曲的传送门: https://www.xbiquge.bz/book/55020/39056482.html
第五十二章 几近消亡的次位面: https://www.xbiquge.bz/book/55020/39056483.html
第五十三章 奥法师之袍: https://www.xbiquge.bz/book/55020/39056484.html
第五十四章 怒风之刺: https://www.xbiquge.bz/book/55020/39056485.html
第五十五章 传承秘宝的消息: https://www.xbiquge.bz/book/55020/39056486.html
第五十六章 目标奥尔塔兰公主(周年庆): https://www.xbiquge.bz/book/55020/39056487.html
第五十七章 冲锋吧，莱丁: https://www.xbiquge.bz/book/55020/39056488.html
第五十八章 位面神器: https://www.xbiquge.bz/book/55020/39056489.html
第五十九章 树源之杖: https://www.xbiquge.bz/book/55020/39056490.html
第六十章 战地结盟: https://www.xbiquge.bz/book/55020/39056491.html
第六十一章 魔法的力量: https://www.xbiquge.bz/book/55020/39056492.html
第六十二章 死磕和魔力之日的光辉: https://www.xbiquge.bz/book/55020/39056493.html
第六十三章 古怪的骷髅头: https://www.xbiquge.bz/book/55020/39056494.html
第六十四章 位面崩溃的前兆: https://www.xbiquge.bz/book/55020/39056495.html
第六十五章 战后和联络: https://www.xbiquge.bz/book/55020/39056496.html
第六十六章 战争的阴云: https://www.xbiquge.bz/book/55020/39056497.html
第六十七章 贸易和反攻: https://www.xbiquge.bz/book/55020/39056498.html
第六十八章 夺取橡木要塞: https://www.xbiquge.bz/book/55020/39056499.html
第六十九章 吞噬之血: https://www.xbiquge.bz/book/55020/39056500.html
第七十章 战利品和意外的收获: https://www.xbiquge.bz/book/55020/39056501.html
第七十一章 圣所石居: https://www.xbiquge.bz/book/55020/39056502.html
第七十二章 目标剑堡(传说中的加更): https://www.xbiquge.bz/book/55020/39056503.html
第七十三章 蓄势待发: https://www.xbiquge.bz/book/55020/39056504.html
第七十四章 兵临城上: https://www.xbiquge.bz/book/55020/39056505.html
第七十五章 斩将夺城: https://www.xbiquge.bz/book/55020/39056506.html
第七十六章 入手的血灵傀儡: https://www.xbiquge.bz/book/55020/39056507.html
第七十七章 勇者之剑的光辉: https://www.xbiquge.bz/book/55020/39056508.html
第七十八章 岌岌可危: https://www.xbiquge.bz/book/55020/39056509.html
第七十九章 诱敌: https://www.xbiquge.bz/book/55020/39056510.html
第八十章 逆转: https://www.xbiquge.bz/book/55020/39056511.html
第八十一章 勇者的黄昏: https://www.xbiquge.bz/book/55020/39056512.html
第八十二章 陨落: https://www.xbiquge.bz/book/55020/39056513.html
第八十三章 战争的丰厚回报: https://www.xbiquge.bz/book/55020/39056514.html
第八十四章 席卷: https://www.xbiquge.bz/book/55020/39056515.html
第八十五章 荣光骑士的训练秘典: https://www.xbiquge.bz/book/55020/39056516.html
第八十六章 被腐化的城堡之心: https://www.xbiquge.bz/book/55020/39056517.html
第八十七章 星空徽记和意外的‘婚戒’: https://www.xbiquge.bz/book/55020/39056518.html
第八十八章 无属性的城堡之心和极速狂奔: https://www.xbiquge.bz/book/55020/39056519.html
第八十九章 混乱的瑟鲁南村: https://www.xbiquge.bz/book/55020/39056520.html
第九十章 死亡的序曲: https://www.xbiquge.bz/book/55020/39056521.html
第九十一章 尸山血海: https://www.xbiquge.bz/book/55020/39056522.html
第九十二章 生命汲取法阵: https://www.xbiquge.bz/book/55020/39056523.html
第九十三章 镇魂之歌: https://www.xbiquge.bz/book/55020/39056524.html
第94章 镇魂之歌(下): https://www.xbiquge.bz/book/55020/39056525.html
第九十五章 世界树之力: https://www.xbiquge.bz/book/55020/39056526.html
