番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/53234/40728092.html
番外篇，下: https://www.xbiquge.bz/book/53234/40390285.html
番外篇，中: https://www.xbiquge.bz/book/53234/40390243.html
番外篇，上: https://www.xbiquge.bz/book/53234/40390242.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/53234/40390241.html
完结感言: https://www.xbiquge.bz/book/53234/40390240.html
第335章 一波未平，一波又起（第一更）: https://www.xbiquge.bz/book/53234/36792552.html
第336章 一巴掌拍死（第二更）: https://www.xbiquge.bz/book/53234/36792553.html
第337章 玉潼关（第三更）: https://www.xbiquge.bz/book/53234/36792554.html
第338章 华池的消息（第四更）: https://www.xbiquge.bz/book/53234/36792555.html
第339章 杀无赦: https://www.xbiquge.bz/book/53234/36792556.html
第340章 端木家族的秘密: https://www.xbiquge.bz/book/53234/36792557.html
第341章 玄元剑派大战: https://www.xbiquge.bz/book/53234/36792558.html
第342章 高手连出: https://www.xbiquge.bz/book/53234/36792559.html
第343章 冠军侯到: https://www.xbiquge.bz/book/53234/36792560.html
第344章 陆鸣回来了: https://www.xbiquge.bz/book/53234/36792561.html
第345章 击杀端木麟: https://www.xbiquge.bz/book/53234/36792562.html
第346章 逆转战局: https://www.xbiquge.bz/book/53234/36792563.html
第347章 再面陆瑶: https://www.xbiquge.bz/book/53234/36792564.html
第348章 今非昔比: https://www.xbiquge.bz/book/53234/36792565.html
第349章 举国之战: https://www.xbiquge.bz/book/53234/36792566.html
第350章 秋长空的秘密: https://www.xbiquge.bz/book/53234/36792567.html
第351章 陆鸣没有: https://www.xbiquge.bz/book/53234/36792568.html
第352章 年轻的半步王者: https://www.xbiquge.bz/book/53234/36792569.html
第353章 陆鸣的邀请函（第19更）: https://www.xbiquge.bz/book/53234/36792570.html
第354章 穆兰的身世（第20更）: https://www.xbiquge.bz/book/53234/36792571.html
第355章 蓝刀世家: https://www.xbiquge.bz/book/53234/36792572.html
第356章 发飙的谢念卿: https://www.xbiquge.bz/book/53234/36792573.html
第357章 又见阳六极: https://www.xbiquge.bz/book/53234/36792574.html
第358章 一招解决: https://www.xbiquge.bz/book/53234/36792575.html
第359章 天才汇聚: https://www.xbiquge.bz/book/53234/36792576.html
第360章 剑风云: https://www.xbiquge.bz/book/53234/36792577.html
第361章 测‘势’: https://www.xbiquge.bz/book/53234/36792578.html
第362章 万幻杀阵: https://www.xbiquge.bz/book/53234/36792579.html
第363章 间接的较量: https://www.xbiquge.bz/book/53234/36792580.html
第364章 摧枯拉朽（第五更）: https://www.xbiquge.bz/book/53234/36792581.html
第365章 领悟: https://www.xbiquge.bz/book/53234/36792582.html
第366章 你成老二了: https://www.xbiquge.bz/book/53234/36792583.html
第367章 千江水域: https://www.xbiquge.bz/book/53234/36792584.html
