番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/23758/40728029.html
番外篇，下: https://www.xbiquge.bz/book/23758/40153821.html
番外篇，中: https://www.xbiquge.bz/book/23758/40153820.html
番外篇，上: https://www.xbiquge.bz/book/23758/40149433.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/23758/40141153.html
完结感言: https://www.xbiquge.bz/book/23758/39981316.html
第158章 偷袭，击杀: https://www.xbiquge.bz/book/23758/15030786.html
第159章 大量灵晶: https://www.xbiquge.bz/book/23758/15030787.html
第160章 奇妙的第三平台: https://www.xbiquge.bz/book/23758/15030788.html
第161章 镇妖枪: https://www.xbiquge.bz/book/23758/15030789.html
第162章 狼形洞府: https://www.xbiquge.bz/book/23758/15030790.html
第163章 洞府之内: https://www.xbiquge.bz/book/23758/15030791.html
第164章 神秘人: https://www.xbiquge.bz/book/23758/15030792.html
第165章 绝色美女: https://www.xbiquge.bz/book/23758/15030793.html
第166章 你往哪抓呢: https://www.xbiquge.bz/book/23758/15030794.html
第167章 火焰通道: https://www.xbiquge.bz/book/23758/15030795.html
第168章 玉剑与戒指: https://www.xbiquge.bz/book/23758/15030796.html
第169章 兽王魂: https://www.xbiquge.bz/book/23758/15030797.html
第170章 陆鸣死了: https://www.xbiquge.bz/book/23758/15030798.html
第171章 谢念卿，地级武技: https://www.xbiquge.bz/book/23758/15030799.html
第172章 苦修: https://www.xbiquge.bz/book/23758/15030800.html
第173章 百岁虾: https://www.xbiquge.bz/book/23758/15030801.html
第174章 回归: https://www.xbiquge.bz/book/23758/15030802.html
第175章 陆家惊变: https://www.xbiquge.bz/book/23758/15030803.html
第176章 陆鸣没死: https://www.xbiquge.bz/book/23758/15030804.html
第177章 大战爆发: https://www.xbiquge.bz/book/23758/15030805.html
第178章 杀宁空: https://www.xbiquge.bz/book/23758/15030806.html
第179章 追杀: https://www.xbiquge.bz/book/23758/15030807.html
第180章 杀上白虎院: https://www.xbiquge.bz/book/23758/15030808.html
第181章 出大事了: https://www.xbiquge.bz/book/23758/15030809.html
第182章 战宗师: https://www.xbiquge.bz/book/23758/15030810.html
第183章 融妖王之魂: https://www.xbiquge.bz/book/23758/15030811.html
第184章 日月同辉: https://www.xbiquge.bz/book/23758/15030812.html
第185章 两院院长出手: https://www.xbiquge.bz/book/23758/15030813.html
第186章 脑袋被驴踢了: https://www.xbiquge.bz/book/23758/15030814.html
第187章 压迫: https://www.xbiquge.bz/book/23758/15030815.html
第188章 退出宗门: https://www.xbiquge.bz/book/23758/15030816.html
第189章 一枪在手，横行天下: https://www.xbiquge.bz/book/23758/15030817.html
第190章 整顿陆家: https://www.xbiquge.bz/book/23758/15030818.html
第191章 影狼阁又现: https://www.xbiquge.bz/book/23758/15030819.html
第192章 荒林大战: https://www.xbiquge.bz/book/23758/15030820.html
第193章 金狼杀手: https://www.xbiquge.bz/book/23758/15030821.html
第194章 白衣女子: https://www.xbiquge.bz/book/23758/15030822.html
第195章 山中修炼: https://www.xbiquge.bz/book/23758/15030823.html
第196章 风之势与烈日皇都: https://www.xbiquge.bz/book/23758/15030824.html
第197章 放兽吃人: https://www.xbiquge.bz/book/23758/15030825.html
第198章 以牙还牙: https://www.xbiquge.bz/book/23758/15030826.html
第199章 吓尿了: https://www.xbiquge.bz/book/23758/15030827.html
第200章 将星殿: https://www.xbiquge.bz/book/23758/15030828.html
第201章 挑衅: https://www.xbiquge.bz/book/23758/15030829.html
第202章 三道掌: https://www.xbiquge.bz/book/23758/15030830.html
第203章 这也好意思炫耀？: https://www.xbiquge.bz/book/23758/15030831.html
第204章 七大修炼圣地: https://www.xbiquge.bz/book/23758/15030832.html
第205章 地元洞: https://www.xbiquge.bz/book/23758/15030833.html
第206章 抢占密室: https://www.xbiquge.bz/book/23758/15030834.html
第207章 一招废了: https://www.xbiquge.bz/book/23758/15030835.html
第208章 外殿十大高手: https://www.xbiquge.bz/book/23758/15030836.html
第209章 出关，怒火: https://www.xbiquge.bz/book/23758/15030837.html
第210章 顶尖对决: https://www.xbiquge.bz/book/23758/15030838.html
第211章 软柿子？: https://www.xbiquge.bz/book/23758/15030839.html
第212章 三招: https://www.xbiquge.bz/book/23758/15030840.html
第213章 八皇子: https://www.xbiquge.bz/book/23758/15030841.html
第214章 皇室秘闻: https://www.xbiquge.bz/book/23758/15030842.html
第215章 借风修炼: https://www.xbiquge.bz/book/23758/15030843.html
第216章 血蚁秘境: https://www.xbiquge.bz/book/23758/15030844.html
第217章 杨再天: https://www.xbiquge.bz/book/23758/15030845.html
